EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,PromotionDelay,IsOverduePromotion,EngagementScore,WorkloadStress,TenureRatio,RoleStagnation,SatisfactionIncomeRatio,CompanyHopper,Attrition_Probability,Risk_Percentage,Risk_Category
15,28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,338.0,4,0,2.75,0,0.6666666666666666,0.5,0.6084,1,0.9969163,99.69,High Risk
16,29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,998.0,2,1,2.25,0,1.0,0.9,0.998,0,0.02218097,2.22,Low Risk
17,32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,471.14285714285717,6,0,2.25,1,0.8571428571428571,0.3333333333333333,0.6596,0,0.04874707,4.87,Low Risk
18,22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,2935.0,1,0,3.0,1,1.0,0.0,1.174,0,0.04061425,4.06,Low Risk
19,53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,497.64516129032256,22,0,2.75,0,0.8064516129032258,0.32,6.1708,0,0.0052354806,0.52,Low Risk
20,38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,657.3333333333334,2,0,3.5,0,0.5,0.6666666666666666,1.5776,1,0.012056353,1.21,Low Risk
21,24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,802.2,3,0,2.5,0,0.8,0.5,1.2033,0,0.0029022607,0.29,Low Risk
22,36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,340.7,5,0,2.25,0,0.5,0.6,0.3407,1,0.98884237,98.88,High Risk
23,34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,922.6153846153846,10,0,2.25,0,0.9230769230769231,0.5,2.3988,0,0.0040715705,0.41,Low Risk
24,21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,1232.0,0,0,3.5,0,0.0,0.0,0.4928,0,0.0483994,4.84,Low Risk
25,34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,370.0,3,0,2.25,0,0.5,0.5,0.296,0,0.12537763,12.54,Low Risk
26,53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,734.3846153846154,10,0,3.0,0,0.5384615384615384,0.9285714285714286,5.7282,0,0.001484258,0.15,Low Risk
27,32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,391.9,4,1,2.0,0,1.0,0.2,0.3919,0,0.9986047,99.86,High Risk
28,42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,682.5,5,0,3.0,0,0.9,0.7777777777777778,1.365,0,0.004666757,0.47,Low Risk
29,44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,427.0,17,1,3.0,0,0.9166666666666666,0.2727272727272727,4.0992,0,0.004531586,0.45,Low Risk
30,46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,861.2272727272727,0,0,2.25,0,0.09090909090909091,1.0,1.8947,0,0.005636275,0.56,Low Risk
31,33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,356.57142857142856,1,0,3.5,0,0.14285714285714285,1.0,0.9984,0,0.004249352,0.42,Low Risk
32,44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,718.3333333333334,3,0,4.0,0,0.4444444444444444,0.5,2.586,0,0.0045349947,0.45,Low Risk
33,30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,220.6,9,0,2.75,0,1.0,0.0,0.6618,0,0.022296036,2.23,Low Risk
34,39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,109.78947368421052,1,0,3.75,0,0.05263157894736842,0.0,0.8344,0,0.97002673,97.0,High Risk
35,24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,382.1666666666667,0,0,2.25,1,0.3333333333333333,0.0,0.9172,0,0.9915547,99.16,High Risk
36,43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,440.8333333333333,4,0,3.25,0,0.8333333333333334,0.6,0.7935,0,0.00026086107,0.03,Low Risk
37,50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,894.3333333333334,3,0,2.5,0,1.0,0.6666666666666666,0.8049,0,0.68084574,68.08,High Risk
38,35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,1007.0,0,0,3.0,0,1.0,1.0,0.8056,0,0.019098904,1.91,Low Risk
39,36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,569.8333333333334,1,0,2.75,0,0.16666666666666666,1.0,0.3419,1,0.038264755,3.83,Low Risk
40,33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,537.6,4,0,2.0,0,0.5,0.6,0.5376,0,0.012164566,1.22,Low Risk
41,35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,1951.0,1,0,3.25,0,1.0,0.0,0.7804,0,0.02564431,2.56,Low Risk
42,27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,2341.0,1,0,3.0,0,1.0,0.0,0.2341,0,0.15079823,15.08,Low Risk
43,26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,2293.0,1,0,2.25,0,1.0,0.0,0.6879,0,0.99876356,99.88,High Risk
44,27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,969.5555555555555,8,0,3.5,0,1.0,0.8888888888888888,2.6178,0,0.0081408145,0.81,Low Risk
45,30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,334.25,9,0,3.5,0,1.0,0.6666666666666666,1.6044,0,0.0020226922,0.2,Low Risk
46,41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,849.7826086956521,7,1,3.0,0,0.9565217391304348,0.6818181818181818,5.8635,0,0.006157998,0.62,Low Risk
47,34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,456.8,1,1,2.75,0,0.9,0.5555555555555556,1.3704,0,0.010777275,1.08,Low Risk
48,37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,377.75,1,0,2.0,0,0.125,0.0,0.6044,0,0.055795025,5.58,Low Risk
49,46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,412.2857142857143,9,0,2.75,0,0.6428571428571429,0.6666666666666666,2.3088,0,0.035909418,3.59,Low Risk
50,35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,2269.0,1,0,3.75,0,1.0,0.0,0.9076,0,0.009067454,0.91,Low Risk
51,48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,233.95652173913044,1,0,2.75,0,0.043478260869565216,0.0,1.6143,1,0.9874422,98.74,High Risk
52,28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1720.5,0,0,2.75,1,1.0,1.0,1.0323,0,0.99421954,99.42,High Risk
53,44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,606.0,3,0,2.0,1,0.4444444444444444,0.75,0.5454,1,0.011128576,1.11,Low Risk
54,35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,988.4,2,0,2.5,0,0.4,0.0,0.9884,0,0.052695774,5.27,Low Risk
55,26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,831.4,2,0,3.0,1,0.4,1.0,1.6628,1,0.048490897,4.85,Low Risk
56,33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,897.2,7,1,2.75,0,1.0,0.9333333333333333,5.3832,0,0.017435426,1.74,Low Risk
57,35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,1007.6666666666666,8,0,2.25,0,1.0,0.8888888888888888,0.9069,0,0.037288457,3.73,Low Risk
58,35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1003.5,0,0,2.5,0,0.5,1.0,0.4014,0,0.02326078,2.33,Low Risk
59,31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,591.5,6,0,3.5,0,0.7,1.0,2.366,0,0.0035212508,0.35,Low Risk
60,37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,856.1428571428571,7,0,2.75,0,1.0,0.7142857142857143,1.7979,0,0.0008218717,0.08,Low Risk
61,32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,684.6666666666666,2,1,2.5,0,1.0,0.8888888888888888,2.4648,0,0.016307969,1.63,Low Risk
62,38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,240.6,1,1,3.75,0,1.0,0.3,0.9624,0,0.012309225,1.23,Low Risk
63,50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,646.2068965517242,14,1,2.75,1,0.9310344827586207,0.1111111111111111,5.622,1,0.010574713,1.06,Low Risk
64,59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,272.75,14,1,2.0,0,0.75,0.7619047619047619,0.7637,1,0.032959696,3.3,Low Risk
65,36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,593.8823529411765,5,1,2.75,0,1.0,0.8235294117647058,3.0288,0,0.0051194504,0.51,Low Risk
66,55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,702.6666666666666,5,0,3.25,0,0.23809523809523808,0.0,4.4268,0,0.0018234738,0.18,Low Risk
67,36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,1083.1666666666667,6,0,2.5,0,1.0,0.8333333333333334,1.2998,0,0.015586909,1.56,Low Risk
68,45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,388.96,1,0,2.25,0,0.04,0.0,0.9724,0,0.0028478762,0.28,Low Risk
69,35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,438.8,2,0,2.25,0,0.6,0.6666666666666666,0.2194,0,0.0126815485,1.27,Low Risk
70,36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1694.0,1,0,2.5,1,0.5,0.0,1.0164,0,0.54328,54.33,Medium Risk
71,59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,273.65,3,0,2.5,0,0.2,0.75,1.6419,1,0.023799619,2.38,Low Risk
72,29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,450.5,5,0,3.0,0,0.8333333333333334,0.8,0.5406,0,0.00011838484,0.01,Low Risk
73,31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,2501.0,0,0,2.5,0,1.0,1.0,0.5002,0,0.06275542,6.28,Low Risk
74,32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,622.0,10,0,2.25,0,1.0,0.4,1.244,0,0.0028440778,0.28,Low Risk
75,36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,607.6,1,0,2.75,0,0.2,0.0,1.2152,0,0.0034719142,0.35,Low Risk
76,31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,402.1818181818182,10,0,3.5,0,1.0,0.6363636363636364,1.7696,0,0.0019091263,0.19,Low Risk
77,35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,269.5,13,0,2.25,0,0.9375,0.8666666666666667,0.4312,0,0.003554493,0.36,Low Risk
78,45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,779.1176470588235,0,0,2.75,0,0.0,0.0,1.3245,0,0.01190219,1.19,Low Risk
79,37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,854.0,5,0,2.25,0,0.3125,0.4,4.0992,0,0.005121053,0.51,Low Risk
80,46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,313.8125,4,0,2.75,0,0.25,0.5,1.0042,1,0.031038282,3.1,Low Risk
81,30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,512.6,7,0,3.25,1,1.0,0.8,2.0504,0,0.0057450393,0.57,Low Risk
82,35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,476.5,6,0,2.25,0,1.0,0.6666666666666666,0.8577,0,0.002072057,0.21,Low Risk
83,55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,426.625,0,0,3.0,0,0.041666666666666664,0.0,4.0956,0,0.007956321,0.8,Low Risk
84,38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,313.47058823529414,12,0,3.25,0,0.7647058823529411,0.8461538461538461,2.1316,1,0.0034626778,0.35,Low Risk
85,34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,865.0,4,0,2.25,0,1.0,0.4,0.865,0,0.018532174,1.85,Low Risk
86,56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,196.21621621621622,6,0,2.75,0,0.16216216216216217,0.6666666666666666,2.904,0,0.006221419,0.62,Low Risk
87,23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,774.0,0,0,2.5,0,0.0,0.0,0.2322,0,0.071229,7.12,Low Risk
88,51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,207.5,4,0,3.25,0,0.4,0.5,0.83,0,0.0029648747,0.3,Low Risk
89,30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,377.45454545454544,1,1,2.75,0,1.0,0.9090909090909091,1.6608,0,0.0020166535,0.2,Low Risk
90,46,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1068.7777777777778,5,0,3.5,0,1.0,0.8888888888888888,3.8476,0,0.9845568,98.46,High Risk
91,40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,613.7727272727273,11,1,2.75,0,1.0,0.13636363636363635,2.7006,0,0.0011678787,0.12,Low Risk
92,51,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,494.6363636363636,9,0,3.0,1,0.9090909090909091,0.7,2.1764,0,0.057796977,5.78,Low Risk
93,30,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,473.54545454545456,9,0,2.25,1,1.0,0.7272727272727273,1.0418,0,0.008806621,0.88,Low Risk
94,46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,508.23809523809524,1,1,2.25,1,0.47619047619047616,0.9,1.0673,0,0.03191703,3.19,Low Risk
95,32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,417.5,6,1,2.25,0,0.9166666666666666,0.7272727272727273,1.503,0,0.025496384,2.55,Low Risk
